,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio,photo_id
0,78.31,21.43,25.21,83.16,22.55,26.6,120.3,140.8,92.13,0.19,1.16,0.20000000000000004,7373.0
1,78.92547045707704,21.070728816986083,25.045047163963318,82.98560412645341,22.11130437374115,26.790732595026494,122.32258834838868,138.96806017160415,92.37290645241737,0.18994966506958008,1.1522127586603164,0.19988233029842375,7373.0
2,64.07,16.83,19.79,65.93,17.609999999999996,20.71,133.6,133.7,35.8,0.12,0.56,0.20000000000000004,7205.0
3,63.81689682960511,16.70118502318859,20.321259229183198,67.93929830789567,17.559263018965723,21.40256641179323,132.61328506469727,131.9667032122612,36.65752443447709,0.13451950311660768,0.5806178364157676,0.19986649632453918,7205.0
4,64.22,17.38,20.79,69.87,18.34,21.97,130.3,139.8,62.73,0.2,0.9399999999999998,0.20000000000000004,6894.0
5,66.42520203888417,17.418469936549663,21.183482410013678,70.4294650733471,18.32814774364233,22.327512139976026,130.07249755859377,136.99452417492867,64.91070908904075,0.1940712308883667,0.9526818621158599,0.20002422332763672,6894.0
6,91.12,14.79,26.33,81.49,16.83,29.87,111.0,76.3,76.62,0.19,0.98,0.20000000000000004,6974.0
7,77.13850438475609,16.306860841214657,28.20278297662735,81.41197449624539,17.157170866131782,29.798167548179624,108.98339729309083,87.96392699480057,76.81756801605223,0.18525731325149536,0.9772902327775954,0.199921977519989,6974.0
8,61.68999999999999,13.59,22.41,81.97,16.580000000000002,30.699999999999996,99.1,92.1,72.36,0.18,0.92,0.20000000000000004,7327.0
9,73.58152373909951,15.12600568920374,27.02896906912327,78.53458783984185,15.97983259126544,28.93396994590759,100.80028629302979,96.4258280158043,71.45536193698644,0.18433730363845827,0.9316035482287406,0.19993985652923582,7327.0
10,67.71,18.25,22.06,73.26,19.23,23.25,145.19999999999996,126.50000000000001,69.12,0.2,0.98,0.20000000000000004,7727.0
11,69.5162982094288,18.293706225752832,22.166211211383345,73.21620071828366,19.1936210501194,23.086210272312165,143.0148864746094,127.15477598309518,69.71073435097932,0.19365436792373658,0.9867341685295105,0.19993037343025208,7727.0
12,80.15,16.61,29.630000000000003,84.77,17.47,31.400000000000002,90.6,99.40000000000002,84.74,0.19,1.04,0.20000000000000004,6981.0
13,80.77250365257264,17.05111344695091,29.355046500563624,85.62198264479638,17.910195990204812,31.304770274758337,99.00304803848267,96.93607752919198,79.01296412348746,0.16956883430480957,0.9402161020040511,0.199895783662796,6981.0
14,62.3,17.14,19.71,68.79,17.92,20.77,143.1,128.2,36.19,0.12,0.54,0.20000000000000004,7387.0
15,63.591282514333734,17.114193155765534,20.17428438961506,68.16890967965126,17.96097272992134,21.121957142949103,138.3358581542969,125.21457328796387,37.20037006884813,0.13651799321174624,0.5831214460730552,0.19979739427566529,7387.0
16,60.839999999999996,12.64,22.09,64.43,13.65,23.33,105.8,100.9,45.6,0.18,0.74,0.20000000000000004,7294.0
17,61.46918840795756,13.441651968061924,21.93964876830578,66.51310907185078,14.162291258126498,23.57272336065769,107.48808898925782,102.83853402137757,47.67412822246551,0.1777130937576294,0.7465947631001472,0.1997981184720993,7294.0
18,70.99,16.88,25.27,74.37,17.58,26.6,122.5,88.0,63.03,0.18,0.8799999999999999,0.20000000000000004,7005.0
19,71.77254472494126,16.639947896599768,25.182142944931986,75.47974855899811,17.49412319034338,26.453868590295315,121.42767601013185,93.17967959642411,64.40461729466915,0.17503331661224367,0.8824429410696029,0.1997646915912628,7005.0
20,63.40999999999999,17.91,20.53,68.58,18.14,21.63,139.1,111.0,59.49999999999999,0.2,0.91,0.20000000000000004,7250.0
21,66.78552308797838,16.97251081705093,21.8608466309309,70.10022362828255,17.9141617462039,22.843820282518863,133.90956497192383,119.70232096910478,61.45470810830592,0.1858885145187378,0.9098247024416922,0.19987042009830475,7250.0
22,74.48,21.09,23.2,78.55,22.22,24.42,147.9,140.0,107.4,0.25,1.45,0.20000000000000004,7349.0
23,75.95944327294828,20.60226618885994,23.568257464766504,77.90157086312772,21.76601608812809,24.430500155389307,144.2594696044922,140.6678767323494,105.07679908275604,0.23874341011047365,1.4007241058349609,0.1999755311012268,7349.0
24,66.16,16.48,20.03,64.77,17.31,20.88,127.6,140.4,51.330000000000005,0.18,0.82,0.20000000000000004,7419.0
25,62.93800295233727,16.67516735434532,20.092558122873307,67.33266098201275,17.520624162852766,21.320944980978965,128.5340232849121,128.7849183678627,53.254904249310485,0.18023684978485108,0.8247318345308303,0.19988953471183776,7419.0
